,close,datetime,high,low,open,volume
0,3508.461,2019-01-10 14:04:00,3515.104,3507.498,3507.611,40184.0
1,3505.707,2019-01-10 14:09:00,3510.497,3505.707,3508.394,38096.0
2,3505.547,2019-01-10 14:14:00,3508.251,3504.395,3508.099,32980.0
3,3500.452,2019-01-10 14:19:00,3507.52,3498.616,3500.726,73320.0
4,3502.441,2019-01-10 14:24:00,3504.419,3499.594,3503.288,34080.0
5,3501.992,2019-01-10 14:29:00,3504.695,3500.737,3504.685,21144.0
6,3495.032,2019-01-10 14:34:00,3502.721,3493.896,3495.032,79918.0
7,3494.026,2019-01-10 14:39:00,3495.879,3490.216,3495.014,77590.0
8,3491.069,2019-01-10 14:44:00,3493.915,3487.114,3490.084,87436.0
9,3491.108,2019-01-10 14:49:00,3492.25,3489.384,3490.235,37130.0
10,3494.318,2019-01-10 14:54:00,3496.046,3491.235,3495.165,39064.0
11,3488.232,2019-01-10 14:59:00,3494.313,3486.397,3487.516,106102.0
12,3498.069,2019-01-10 21:04:00,3498.214,3485.477,3496.386,108764.0
13,3498.234,2019-01-10 21:09:00,3500.05,3495.279,3499.36,77060.0
14,3497.694,2019-01-10 21:14:00,3501.923,3496.71,3497.694,47814.0
15,3492.137,2019-01-10 21:19:00,3498.681,3491.152,3495.671,44884.0
16,3494.813,2019-01-10 21:24:00,3495.8,3490.302,3495.797,49014.0
17,3486.31,2019-01-10 21:29:00,3494.678,3483.647,3486.31,99016.0
18,3483.621,2019-01-10 21:34:00,3489.27,3481.649,3485.305,79238.0
19,3488.698,2019-01-10 21:39:00,3489.541,3483.6,3488.556,37698.0
20,3488.438,2019-01-10 21:44:00,3490.685,3485.598,3489.423,37924.0
21,3488.691,2019-01-10 21:49:00,3490.518,3485.753,3489.393,30262.0
22,3489.54,2019-01-10 21:54:00,3489.683,3487.572,3488.415,13898.0
23,3481.941,2019-01-10 21:59:00,3489.698,3481.928,3485.724,54008.0
24,3486.715,2019-01-10 22:04:00,3488.683,3480.944,3487.84,46944.0
25,3492.676,2019-01-10 22:09:00,3496.472,3485.734,3495.487,84902.0
26,3497.621,2019-01-10 22:14:00,3498.881,3492.676,3497.762,63506.0
27,3494.803,2019-01-10 22:19:00,3497.756,3492.971,3495.787,31808.0
28,3494.524,2019-01-10 22:24:00,3496.07,3493.54,3494.383,14368.0
29,3490.861,2019-01-10 22:29:00,3494.677,3490.861,3493.673,21820.0
30,3498.36,2019-01-10 22:34:00,3500.469,3490.72,3496.657,53522.0
31,3495.819,2019-01-10 22:39:00,3499.488,3495.692,3496.944,22148.0
32,3493.712,2019-01-10 22:44:00,3497.786,3492.586,3493.712,26816.0
33,3491.131,2019-01-10 22:49:00,3493.943,3488.06,3490.288,52008.0
34,3492.0,2019-01-10 22:54:00,3492.985,3490.173,3490.173,14876.0
35,3491.425,2019-01-10 22:59:00,3492.283,3489.33,3490.299,32488.0
36,3487.906,2019-01-11 09:04:00,3495.925,3486.502,3487.626,65740.0
37,3488.712,2019-01-11 09:09:00,3489.872,3484.633,3489.695,47610.0
38,3491.286,2019-01-11 09:14:00,3491.428,3486.744,3488.616,27492.0
39,3485.487,2019-01-11 09:19:00,3491.41,3485.487,3487.455,30840.0
40,3486.471,2019-01-11 09:24:00,3488.44,3484.631,3488.44,28290.0
41,3490.544,2019-01-11 09:29:00,3490.544,3484.638,3484.78,35356.0
42,3490.513,2019-01-11 09:34:00,3493.466,3489.412,3491.638,41768.0
43,3490.808,2019-01-11 09:39:00,3492.481,3489.67,3490.808,17250.0
44,3479.935,2019-01-11 09:44:00,3491.641,3475.123,3478.809,199932.0
45,3486.304,2019-01-11 09:49:00,3487.288,3477.966,3485.32,77302.0
46,3486.164,2019-01-11 09:54:00,3489.969,3483.494,3485.462,52410.0
47,3485.317,2019-01-11 09:59:00,3487.137,3482.505,3483.489,32040.0
48,3483.775,2019-01-11 10:04:00,3485.461,3481.655,3483.633,25378.0
49,3480.681,2019-01-11 10:09:00,3484.618,3480.681,3482.508,16296.0
50,3480.53,2019-01-11 10:14:00,3484.335,3478.703,3480.53,23454.0
51,3481.645,2019-01-11 10:34:00,3482.633,3478.56,3479.676,34432.0
52,3483.284,2019-01-11 10:39:00,3483.284,3476.02,3482.441,40884.0
53,3479.66,2019-01-11 10:44:00,3484.295,3477.974,3480.644,26676.0
54,3478.629,2019-01-11 10:49:00,3479.66,3476.114,3478.629,34420.0
55,3475.635,2019-01-11 10:54:00,3479.454,3474.792,3478.446,44878.0
56,3481.232,2019-01-11 10:59:00,3481.373,3467.428,3477.718,154434.0
57,3483.414,2019-01-11 11:04:00,3486.226,3478.423,3480.603,77250.0
58,3484.684,2019-01-11 11:09:00,3485.809,3481.579,3484.676,27580.0
59,3489.224,2019-01-11 11:14:00,3492.166,3482.847,3488.24,77594.0
60,3488.262,2019-01-11 11:19:00,3490.229,3487.275,3488.262,37680.0
61,3490.067,2019-01-11 11:24:00,3490.067,3485.446,3486.13,25474.0
62,3501.425,2019-01-11 11:29:00,3503.397,3489.132,3502.549,197366.0
63,3500.718,2019-01-11 13:34:00,3506.071,3499.451,3500.577,106356.0
64,3500.432,2019-01-11 13:39:00,3505.213,3499.304,3502.406,64368.0
65,3502.284,2019-01-11 13:44:00,3503.101,3499.609,3501.295,30908.0
66,3503.751,2019-01-11 13:49:00,3504.594,3500.322,3503.61,39472.0
67,3505.049,2019-01-11 13:54:00,3509.131,3503.602,3508.146,94808.0
68,3504.248,2019-01-11 13:59:00,3508.169,3501.997,3504.95,61516.0
69,3502.136,2019-01-11 14:04:00,3506.222,3502.136,3503.121,27880.0
70,3503.763,2019-01-11 14:09:00,3505.59,3501.994,3505.449,24252.0
71,3503.458,2019-01-11 14:14:00,3504.596,3499.804,3501.49,46224.0
72,3508.006,2019-01-11 14:19:00,3508.006,3502.479,3506.32,49620.0
73,3507.865,2019-01-11 14:24:00,3509.002,3504.211,3505.195,38022.0
74,3507.597,2019-01-11 14:29:00,3511.554,3506.613,3509.424,85508.0
75,3504.266,2019-01-11 14:34:00,3509.42,3501.726,3503.282,54436.0
76,3508.48,2019-01-11 14:39:00,3510.45,3503.978,3506.649,57220.0
77,3510.861,2019-01-11 14:44:00,3511.029,3505.073,3508.217,59210.0
78,3509.023,2019-01-11 14:49:00,3512.003,3507.059,3508.039,47548.0
79,3507.06,2019-01-11 14:54:00,3509.023,3504.527,3506.917,42258.0
80,3512.194,2019-01-11 14:59:00,3513.321,3505.223,3512.195,110228.0
